time_hrs,th_0_889_cm,th_1_778_cm,th_2_667_cm,th_3_556_cm,th_4_445_cm,th_5_334_cm,th_6_223_cm,th_7_112_cm,th_8_001_cm,th_8_89_cm,th_9_779_cm,th_10_668_cm,th_11_557_cm,th_12_446_cm,th_13_335_cm,th_14_224_cm,th_15_113_cm,th_16_002_cm,th_16_891_cm,th_17_78_cm,th_18_669_cm,th_19_558_cm,th_20_447_cm,th_21_336_cm,th_22_225_cm,th_23_114_cm,th_24_003_cm,th_24_892_cm,th_25_781_cm,th_26_67_cm,th_27_559_cm,th_28_448_cm
737199.60744213,28.7513888888889,30.6875,31.9175,33.045,33.3525,33.455,33.6713888888889,33.4663888888889,32.84,32.225,31.3025,30.2775,28.535,25.46,22.18,19.6061111111111,18.695,18.2736111111111,18.0686111111111,17.67,17.4536111111111,17.6586111111111,17.5561111111111,17.3511111111111,17.3511111111111,17.5675,17.3625,17.4536111111111,17.0436111111111,17.3511111111111,17.055,17.3511111111111
737199.607453704,28.74,30.6875,31.9175,33.045,33.3525,33.455,33.66,33.455,32.84,32.225,31.3025,30.2775,28.535,25.46,22.18,19.6175,18.695,18.285,18.08,17.67,17.465,17.67,17.5675,17.3625,17.3625,17.5675,17.3625,17.465,17.055,17.3625,17.055,17.3625
737199.60755787,28.6375,30.6875,31.9175,33.045,33.3525,33.455,33.5575,33.3525,32.84,32.225,31.3025,30.2775,28.535,25.46,22.18,19.72,18.695,18.3875,18.1825,17.67,17.5675,17.7725,17.67,17.465,17.465,17.5675,17.3625,17.5675,17.1575,17.465,17.055,17.465
737199.607662037,28.74,30.6875,31.9175,33.045,33.25,33.455,33.66,33.455,32.84,32.3275,31.3025,30.38,28.74,25.46,22.0775,19.515,18.5925,18.285,18.1825,17.67,17.465,17.67,17.5675,17.465,17.465,17.5675,17.3625,17.465,17.1575,17.465,17.055,17.465
737199.607766204,28.74,30.6875,31.9175,32.9425,33.1475,33.455,33.66,33.455,32.84,32.3275,31.3025,30.2775,28.535,25.3575,21.975,19.31,18.3875,18.08,17.9775,17.465,17.3625,17.465,17.3625,17.26,17.26,17.3625,17.1575,17.3625,16.9525,17.26,16.9525,17.26
737199.60787037,28.74,30.6875,31.9175,33.045,33.1475,33.455,33.66,33.455,32.84,32.3275,31.3025,30.175,28.4325,25.255,21.77,19.105,18.1825,17.875,17.7725,17.3625,17.1575,17.26,17.26,17.055,17.055,17.1575,17.055,17.1575,16.7475,17.055,16.7475,17.055
737199.607974537,28.74,30.6875,31.9175,33.045,33.1475,33.455,33.66,33.455,32.84,32.3275,31.3025,30.175,28.33,25.1525,21.565,19.2075,18.1825,17.7725,17.465,17.055,16.85,16.9525,16.9525,16.7475,16.7475,16.9525,16.7475,16.85,16.44,16.7475,16.5425,16.85
737199.60806713,28.74,30.6875,31.9175,33.045,33.1475,33.455,33.66,33.455,32.84,32.3275,31.2,30.0725,28.2275,25.3575,21.77,19.105,17.9775,17.67,17.465,16.9525,16.7475,16.9525,16.85,16.645,16.7475,16.85,16.645,16.85,16.44,16.645,16.44,16.645
737199.608171296,28.8425,30.6875,31.9175,33.045,33.25,33.455,33.66,33.455,32.9425,32.3275,31.2,30.0725,28.33,25.5625,22.0775,19.105,17.9775,17.67,17.465,16.9525,16.85,16.9525,16.9525,16.7475,16.7475,16.85,16.7475,16.85,16.44,16.7475,16.44,16.7475
737199.608275463,28.8425,30.6875,31.9175,33.045,33.25,33.455,33.66,33.455,32.84,32.3275,31.2,30.0725,28.33,25.46,22.0775,19.4125,18.08,17.67,17.465,17.055,16.85,17.055,16.9525,16.7475,16.7475,16.9525,16.7475,16.85,16.5425,16.7475,16.44,16.85
737199.60837963,28.8425,30.6875,31.9175,33.045,33.25,33.455,33.66,33.455,32.9425,32.3275,31.2,30.175,28.33,25.1525,21.975,19.31,18.08,17.67,17.465,17.055,16.9525,17.055,17.055,16.85,16.7475,16.9525,16.7475,16.9525,16.5425,16.85,16.5425,16.85
737199.608483796,28.74,30.6875,31.815,32.9425,33.25,33.455,33.66,33.455,32.9425,32.225,31.2,30.175,28.4325,25.1525,21.77,19.2075,18.08,17.7725,17.5675,17.1575,16.9525,17.1575,17.055,16.85,16.9525,17.055,16.85,17.055,16.645,16.9525,16.645,16.9525
737199.608587963,28.74,30.6875,31.9175,33.045,33.25,33.5575,33.66,33.455,32.9425,32.3275,31.2,30.175,28.2275,25.05,21.565,19.2075,18.1825,17.875,17.67,17.26,17.055,17.26,17.1575,16.9525,17.055,17.1575,16.9525,17.1575,16.7475,17.055,16.645,17.055
737199.608680556,28.74,30.6875,31.815,33.045,33.25,33.5575,33.66,33.455,32.9425,32.3275,31.2,30.175,28.125,25.05,21.4625,19.2075,18.285,17.9775,17.7725,17.3625,17.1575,17.3625,17.26,17.1575,17.055,17.26,17.055,17.1575,16.85,17.1575,16.7475,17.1575
737199.608784722,28.74,30.6875,31.9175,33.045,33.25,33.5575,33.66,33.455,32.9425,32.3275,31.2,30.0725,28.125,25.05,21.2575,19.105,18.1825,17.9775,17.9775,17.465,17.3625,17.465,17.465,17.26,17.26,17.465,17.26,17.3625,16.9525,17.26,16.9525,17.26
737199.608888889,28.74,30.6875,31.9175,33.045,33.25,33.5575,33.66,33.455,32.9425,32.3275,31.3025,30.0725,28.125,25.1525,21.6675,19.72,18.5925,18.285,18.08,17.67,17.465,17.5675,17.5675,17.3625,17.3625,17.5675,17.26,17.465,17.055,17.3625,17.055,17.3625
737199.608993056,28.74,30.6875,31.9175,33.045,33.3525,33.455,33.66,33.455,32.9425,32.3275,31.3025,30.0725,28.125,25.46,22.2825,19.925,18.695,18.3875,18.1825,17.7725,17.5675,17.67,17.5675,17.465,17.465,17.67,17.3625,17.5675,17.1575,17.465,17.055,17.465
737199.609097222,28.74,30.6875,31.9175,33.045,33.3525,33.455,33.66,33.455,32.9425,32.3275,31.3025,30.0725,28.125,25.46,22.2825,20.0275,18.9,18.49,18.1825,17.7725,17.5675,17.67,17.5675,17.465,17.465,17.5675,17.3625,17.465,17.055,17.3625,17.055,17.465
737199.609201389,28.74,30.6875,31.9175,33.045,33.3525,33.5575,33.66,33.455,32.9425,32.3275,31.2,30.0725,28.125,25.46,22.0775,19.515,18.3875,18.1825,17.9775,17.465,17.26,17.3625,17.26,17.055,17.055,17.26,17.055,17.1575,16.7475,17.055,16.7475,17.1575
737199.609293981,28.74,30.6875,31.9175,33.045,33.3525,33.5575,33.66,33.5575,32.9425,32.3275,31.0975,29.97,28.2275,25.46,21.975,19.515,18.285,18.08,17.875,17.3625,17.1575,17.26,17.26,17.055,17.055,17.26,17.055,17.1575,16.7475,17.055,16.7475,17.055
737199.609398148,28.74,30.6875,31.9175,33.045,33.3525,33.5575,33.66,33.5575,32.9425,32.3275,31.2,29.97,28.33,25.46,22.0775,19.6175,18.285,17.875,17.7725,17.26,16.9525,17.1575,17.1575,16.9525,16.9525,17.055,16.85,17.055,16.645,16.85,16.5425,16.85
737199.609502315,28.74,30.6875,31.9175,33.045,33.455,33.5575,33.7625,33.455,32.9425,32.3275,31.0975,29.97,28.33,25.46,21.8725,19.515,18.285,17.9775,17.7725,17.26,17.055,17.1575,17.1575,16.9525,16.9525,17.055,16.85,17.055,16.645,16.9525,16.5425,16.85
737199.609606482,28.74,30.6875,31.9175,33.045,33.3525,33.5575,33.66,33.455,32.9425,32.3275,30.995,29.97,28.33,25.46,21.8725,19.6175,18.3875,18.08,17.875,17.3625,17.1575,17.26,17.1575,16.9525,16.9525,17.1575,16.9525,17.055,16.645,16.9525,16.645,16.9525
737199.609710648,28.74,30.6875,31.9175,33.045,33.455,33.66,33.66,33.5575,32.9425,32.3275,30.995,29.97,28.4325,25.46,22.0775,19.4125,18.3875,17.9775,17.7725,17.26,17.055,17.26,17.26,17.055,16.9525,17.1575,16.9525,17.055,16.7475,16.9525,16.645,16.9525
737199.609814815,28.74,30.6875,31.9175,33.1475,33.455,33.66,33.7625,33.5575,32.9425,32.3275,31.0975,30.0725,28.33,25.3575,21.77,19.4125,18.3875,17.9775,17.875,17.3625,17.1575,17.3625,17.26,17.055,17.055,17.26,17.055,17.1575,16.7475,17.055,16.645,17.055
737199.609907407,28.74,30.79,31.9175,33.1475,33.455,33.66,33.7625,33.5575,32.9425,32.3275,30.995,29.97,28.4325,25.5625,21.975,19.515,18.49,18.08,17.875,17.465,17.26,17.465,17.3625,17.1575,17.1575,17.3625,17.055,17.26,16.85,17.1575,16.7475,17.1575
737199.610011574,28.74,30.6875,32.02,33.1475,33.455,33.66,33.66,33.5575,32.9425,32.3275,30.995,29.97,28.2275,25.5625,22.18,19.925,18.695,18.1825,17.9775,17.465,17.3625,17.465,17.465,17.26,17.26,17.3625,17.1575,17.26,16.85,17.1575,16.85,17.26
737199.610115741,28.74,30.79,32.1225,33.1475,33.455,33.66,33.66,33.5575,32.9425,32.3275,30.995,29.8675,28.2275,25.3575,22.2825,19.925,18.7975,18.285,18.08,17.5675,17.3625,17.5675,17.465,17.3625,17.26,17.465,17.26,17.3625,16.9525,17.26,16.85,17.26
737199.610219907,28.74,30.79,32.1225,33.1475,33.5575,33.7625,33.7625,33.5575,32.9425,32.3275,30.995,29.765,28.33,25.46,22.385,20.0275,18.7975,18.3875,18.08,17.67,17.465,17.67,17.5675,17.3625,17.3625,17.465,17.26,17.3625,17.055,17.3625,16.9525,17.3625
737199.610324074,28.74,30.79,32.1225,33.1475,33.455,33.7625,33.7625,33.5575,32.9425,32.3275,30.995,29.765,28.2275,25.46,22.0775,19.925,18.695,18.3875,18.08,17.67,17.465,17.67,17.5675,17.3625,17.3625,17.465,17.26,17.3625,16.9525,17.26,16.9525,17.3625
737199.610428241,28.74,30.79,32.1225,33.25,33.5575,33.7625,33.7625,33.5575,32.9425,32.225,30.995,29.765,28.0225,25.255,21.975,19.6175,18.5925,18.1825,17.9775,17.5675,17.3625,17.465,17.465,17.26,17.26,17.465,17.26,17.3625,16.9525,17.26,16.85,17.26
737199.610520833,28.8425,30.79,32.1225,33.25,33.5575,33.7625,33.7625,33.5575,32.9425,32.225,30.995,29.765,28.0225,25.3575,22.0775,19.8225,18.49,17.9775,17.875,17.3625,17.1575,17.3625,17.3625,17.1575,17.1575,17.26,17.055,17.26,16.85,17.055,16.7475,17.055
737199.610543981,28.8197222222222,30.79,32.1225,33.25,33.5575,33.7625,33.7625,33.5575,32.9425,32.2477777777778,30.995,29.765,27.9997222222222,25.2891666666667,22.0775,19.8225,18.5127777777778,18.0002777777778,17.875,17.3625,17.1575,17.3625,17.3397222222222,17.1575,17.1347222222222,17.26,17.055,17.2372222222222,16.8044444444444,17.0322222222222,16.7247222222222,17.0322222222222
737199.610625,28.74,30.79,32.1225,33.25,33.5575,33.7625,33.7625,33.5575,32.9425,32.3275,30.995,29.765,27.92,25.05,22.0775,19.8225,18.5925,18.08,17.875,17.3625,17.1575,17.3625,17.26,17.1575,17.055,17.26,17.055,17.1575,16.645,16.9525,16.645,16.9525
737199.610729167,28.8425,30.79,32.1225,33.25,33.5575,33.7625,33.7625,33.5575,32.9425,32.225,30.995,29.6625,27.92,25.05,21.975,19.72,18.49,18.08,17.875,17.3625,17.1575,17.3625,17.26,17.055,17.055,17.26,16.9525,17.1575,16.645,16.9525,16.645,17.055
737199.610833333,28.8425,30.8925,32.1225,33.25,33.5575,33.7625,33.865,33.455,32.9425,32.225,30.8925,29.765,27.8175,24.845,21.6675,19.515,18.49,17.9775,17.7725,17.3625,17.1575,17.26,17.1575,17.055,17.055,17.1575,16.9525,17.055,16.645,16.9525,16.645,16.9525
737199.6109375,28.8425,30.8925,32.02,33.25,33.5575,33.7625,33.865,33.5575,32.9425,32.1225,30.8925,29.6625,27.8175,24.845,21.8725,19.515,18.3875,17.9775,17.7725,17.26,17.055,17.26,17.1575,17.055,17.055,17.1575,16.9525,17.055,16.645,16.9525,16.5425,16.9525
737199.611041667,28.8425,30.79,32.1225,33.25,33.5575,33.7625,33.7625,33.5575,32.9425,32.225,30.79,29.6625,27.8175,25.05,21.975,19.6175,18.3875,18.08,17.875,17.3625,17.1575,17.3625,17.26,17.055,17.055,17.26,16.9525,17.055,16.645,17.055,16.645,16.9525
737199.611134259,28.8425,30.79,32.02,33.25,33.5575,33.7625,33.865,33.5575,32.9425,32.225,30.79,29.8675,27.92,25.255,22.18,19.72,18.5925,18.1825,17.9775,17.465,17.26,17.3625,17.26,17.1575,17.1575,17.26,17.055,17.1575,16.7475,17.055,16.645,17.055
737199.611238426,28.8425,30.79,32.1225,33.1475,33.5575,33.7625,33.865,33.5575,32.9425,32.1225,30.8925,29.97,27.92,25.3575,22.18,19.72,18.5925,18.1825,17.9775,17.465,17.26,17.465,17.3625,17.1575,17.1575,17.26,17.1575,17.26,16.85,17.1575,16.7475,17.1575
737199.611342593,28.74,30.79,32.1225,33.25,33.5575,33.7625,33.865,33.5575,32.9425,32.1225,30.995,29.97,28.0225,25.3575,22.0775,19.72,18.5925,18.285,17.9775,17.5675,17.3625,17.465,17.465,17.26,17.26,17.3625,17.1575,17.26,16.85,17.26,16.85,17.1575
737199.611446759,28.74,30.79,32.1225,33.25,33.5575,33.7625,33.865,33.5575,32.9425,32.1225,30.995,30.0725,28.2275,25.46,22.0775,19.6175,18.5925,18.285,17.9775,17.465,17.3625,17.465,17.465,17.26,17.26,17.3625,17.1575,17.3625,16.9525,17.26,16.85,17.26
