time_hrs,v1,a1,w1,h1,m1,T1,v2,a2,w2,h2,m2,T2,v4,a4,w4,h4,m4,T4,v5,a5,w5,h5,m5,T5,v6,a6,w6,h6,m6,T6
-7.99977499991655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0255788530526009,0.107686903825679,0.0682955237313707,-0.164838490052198,0.00427986651238754,16.3282266666667
-7.92533055413514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0441493277162097,0.172479236735891,0.109643433835402,-0.151373023678039,0.0066339775021631,16.40959
-7.77644166536629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.113138380681938,0.254359305048778,0.165418111549356,-0.156365837052727,0.00694050527310375,16.5886066666667
-7.7014416642487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.141033894076395,0.375370755917674,0.231463588956243,-0.170890385051819,0.00654846235894802,16.5572833333333
-7.62699722126126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0969036534257328,0.179602909054286,0.110569923498425,-0.176790982676451,0.00692241130660443,16.2854666666667
-7.47810833249241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.195592409922588,0.402208450185567,0.221219260396537,-0.152129510552992,0.00490337467551205,16.6028233333333
-7.403663886711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.165965944122243,0.303658748730812,0.173624162850412,-0.158635297677585,-0.00143693988804294,16.6667066666667
-7.32921944372356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.181365985921867,0.263905606693881,0.153691399528814,-0.143656857553521,-0.00259590423997724,16.4360066666667
-7.18033055495471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.212344052784406,0.319050840008025,0.185297932604495,-0.12368560405477,-0.00564998506600944,16.3159666666667
-7.1058861091733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.219658384830722,0.295713457610418,0.164121026021124,-0.111581814055526,-0.00827326883138491,16.4751066666667
